region,subregion,updated_at,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,retail_and_recreation_not_enough_data,grocery_and_pharmacy_not_enough_data,parks_not_enough_data,transit_stations_not_enough_data,workplaces_not_enough_data,residential_not_enough_data
Alabama,Elmore County,2020-03-29,-0.4,-0.13,0.5,,-0.37,0.08,,,True,True,,
Alabama,Elmore County,2020-04-05,-0.47,-0.11,0.3,,-0.4,0.16,,,True,True,,True
Alabama,Escambia County,2020-03-29,-0.35,-0.2,,,-0.27,0.07,,,True,True,,True
Alabama,Escambia County,2020-04-05,-0.39,-0.07,,,-0.31,0.07,,,True,True,,True
Alabama,Etowah County,2020-03-29,-0.47,-0.13,0.19,-0.27,-0.33,0.09,,,True,,,
Alabama,Etowah County,2020-04-05,-0.58,-0.22,-0.23,-0.35,-0.36,0.11,,,True,,,
Alabama,Fayette County,2020-03-29,-0.23,,,,-0.28,,,True,True,True,True,True
Alabama,Fayette County,2020-04-05,-0.39,,,,-0.28,,,True,True,True,True,True
Alabama,Franklin County,2020-03-29,-0.27,-0.04,,,-0.14,0.05,,,True,True,,True
Alabama,Franklin County,2020-04-05,-0.45,-0.15,,,-0.21,0.05,,,True,True,,True
Alabama,Geneva County,2020-03-29,-0.34,-0.04,,,-0.28,-0.02,,,True,True,,True
Alabama,Geneva County,2020-04-05,-0.42,-0.07,,,-0.33,-0.02,,,True,True,,True
Alabama,Greene County,2020-03-29,0.11,-0.22,,-0.32,-0.33,,True,,True,,True,True
Alabama,Greene County,2020-04-05,0.11,-0.29,,-0.4,-0.33,,True,,True,,True,True
Alabama,Hale County,2020-03-29,-0.46,-0.29,,,-0.14,,True,,True,True,True,True
Alabama,Hale County,2020-04-05,-0.41,-0.36,,,-0.39,,True,,True,True,True,True
Alabama,Henry County,2020-03-29,-0.46,-0.08,,,-0.29,,,,True,True,,True
Alabama,Henry County,2020-04-05,-0.49,-0.19,,,-0.33,,,,True,True,,True
Alabama,Houston County,2020-03-29,-0.46,-0.18,0.23,-0.27,-0.3,0.09,,,True,,,
Alabama,Houston County,2020-04-05,-0.58,-0.25,0.02,-0.44,-0.36,0.11,,,True,,,
Alabama,Jackson County,2020-03-29,-0.31,-0.04,,,-0.25,0.12,,,True,True,,True
Alabama,Jackson County,2020-04-05,-0.49,-0.1,,,-0.33,0.12,,,True,True,,True
Alabama,Jefferson County,2020-03-29,-0.48,-0.16,0.07,-0.43,-0.36,0.11,,,,,,
Alabama,Jefferson County,2020-04-05,-0.56,-0.17,-0.2,-0.46,-0.42,0.13,,,,,,
Alabama,Lamar County,2020-03-29,0.0,0.02,,,-0.28,,True,,True,True,True,True
Alabama,Lamar County,2020-04-05,-0.32,0.0,,,-0.32,,True,,True,True,True,True
Alabama,Lauderdale County,2020-03-29,-0.43,-0.14,-0.15,,-0.33,0.09,,,True,True,,
Alabama,Lauderdale County,2020-04-05,-0.54,-0.16,-0.15,,-0.36,0.08,,,True,True,,
Alabama,Lawrence County,2020-03-29,-0.27,-0.06,,,-0.25,0.07,,,True,True,,True
Alabama,Lawrence County,2020-04-05,-0.41,-0.16,,,-0.3,0.07,,,True,True,,True
Alabama,Lee County,2020-03-29,-0.52,-0.23,-0.14,,-0.36,0.11,,,True,True,,
Alabama,Lee County,2020-04-05,-0.58,-0.27,-0.14,,-0.43,0.13,,,True,True,,
Alabama,Limestone County,2020-03-29,-0.35,-0.12,0.38,,-0.32,0.09,,,True,True,,
Alabama,Limestone County,2020-04-05,-0.46,-0.18,0.32,,-0.37,0.1,,,True,True,,
Alabama,Lowndes County,2020-03-29,,,,-0.29,-0.34,,True,True,True,,True,True
Alabama,Lowndes County,2020-04-05,,,,-0.44,-0.41,,True,True,True,,True,True
Alabama,Macon County,2020-03-29,-0.29,-0.12,,-0.42,-0.37,,,,True,,,True
Alabama,Macon County,2020-04-05,-0.46,-0.05,,-0.54,-0.39,,,,True,,,True
Alabama,Madison County,2020-03-29,-0.46,-0.17,0.35,-0.39,-0.38,0.1,,,,,,
Alabama,Madison County,2020-04-05,-0.56,-0.28,0.08,-0.53,-0.43,0.13,,,,,,
Alabama,Marengo County,2020-03-29,-0.18,-0.04,,,-0.17,,,,True,True,,True
Alabama,Marengo County,2020-04-05,-0.26,0.05,,,-0.19,,,,True,True,,True
Alabama,Marion County,2020-03-29,-0.31,-0.04,,,-0.24,,,,True,True,,True
Alabama,Marion County,2020-04-05,-0.43,-0.13,,,-0.31,,,,True,True,,True
Alabama,Marshall County,2020-03-29,-0.34,-0.04,1.07,,-0.3,0.08,,,True,True,,
Alabama,Marshall County,2020-04-05,-0.5,-0.12,0.63,,-0.31,0.08,,,True,True,,
Alabama,Mobile County,2020-03-29,-0.39,-0.11,-0.21,-0.3,-0.29,0.09,,,,,,
Alabama,Mobile County,2020-04-05,-0.42,-0.1,-0.3,-0.37,-0.33,0.11,,,,,,
Alabama,Monroe County,2020-03-29,-0.28,-0.07,,,-0.27,,,,True,True,True,True
Alabama,Monroe County,2020-04-05,-0.52,0.36,,,-0.34,,,,True,True,True,True
Alabama,Montgomery County,2020-03-29,-0.44,-0.14,-0.09,-0.14,-0.34,0.11,,,,,,
Alabama,Montgomery County,2020-04-05,-0.52,-0.17,-0.16,-0.3,-0.38,0.13,,,,,,
Alabama,Morgan County,2020-03-29,-0.37,-0.04,0.18,-0.27,-0.27,0.08,,,,,,
Alabama,Morgan County,2020-04-05,-0.49,-0.14,-0.01,-0.32,-0.34,0.11,,,,,,
Alabama,Perry County,2020-03-29,-0.53,0.04,,,-0.29,,True,True,True,True,True,True
Alabama,Perry County,2020-04-05,-0.58,-0.16,,,-0.37,,True,True,True,True,True,True
Alabama,Pickens County,2020-03-29,-0.36,-0.04,,,-0.36,,,,True,True,True,True
Alabama,Pickens County,2020-04-05,-0.36,0.09,,,-0.35,,,,True,True,True,True
Alabama,Pike County,2020-03-29,-0.39,-0.36,,,-0.25,0.0,,,True,True,,True
Alabama,Pike County,2020-04-05,-0.43,-0.34,,,-0.31,0.0,,,True,True,,True
Alabama,Randolph County,2020-03-29,-0.29,-0.14,,,-0.22,,,,True,True,,True
Alabama,Randolph County,2020-04-05,-0.45,-0.07,,,-0.31,,,,True,True,,True
Alabama,Russell County,2020-03-29,-0.28,-0.05,,,-0.27,0.13,,,True,True,,
Alabama,Russell County,2020-04-05,-0.46,0.19,,,-0.35,0.16,,,True,True,,True
Alabama,Shelby County,2020-03-29,-0.43,-0.2,0.44,,-0.36,0.12,,,,True,,
Alabama,Shelby County,2020-04-05,-0.53,-0.27,0.08,,-0.41,0.14,,,,True,,
Alabama,St. Clair County,2020-03-29,-0.3,-0.15,,-0.24,-0.34,0.09,,,True,,,
Alabama,St. Clair County,2020-04-05,-0.45,-0.15,,-0.32,-0.37,0.1,,,True,,,
Alabama,Sumter County,2020-03-29,-0.52,-0.06,,,-0.31,,True,True,True,True,True,True
Alabama,Sumter County,2020-04-05,-0.61,-0.11,,,-0.33,,True,True,True,True,True,True
Alabama,Talladega County,2020-03-29,-0.31,-0.1,0.17,-0.12,-0.33,0.07,,,True,,,
Alabama,Talladega County,2020-04-05,-0.44,-0.13,0.0,-0.29,-0.35,0.1,,,True,,,
Alabama,Tallapoosa County,2020-03-29,-0.31,-0.09,,,-0.25,0.13,,,True,True,,True
Alabama,Tallapoosa County,2020-04-05,-0.43,-0.09,,,-0.3,0.14,,,True,True,,True
Alabama,Tuscaloosa County,2020-03-29,-0.46,-0.14,-0.01,-0.29,-0.4,0.12,,,,,,
Alabama,Tuscaloosa County,2020-04-05,-0.52,-0.18,-0.13,-0.38,-0.42,0.13,,,,,,
Alabama,Walker County,2020-03-29,-0.37,-0.1,,-0.32,-0.24,0.12,,,True,,,True
Alabama,Walker County,2020-04-05,-0.46,-0.14,,-0.4,-0.26,0.13,,,True,,,True
Alabama,Washington County,2020-03-29,,-0.13,,,-0.25,,True,,True,True,True,True
Alabama,Washington County,2020-04-05,,-0.16,,,-0.23,,True,,True,True,True,True
Alabama,Wilcox County,2020-03-29,-0.49,-0.17,,,-0.31,,True,True,True,True,True,True
Alabama,Wilcox County,2020-04-05,-0.61,-0.17,,,-0.38,,True,True,True,True,True,True
Alabama,Winston County,2020-03-29,-0.28,0.01,,,-0.21,,,,True,True,,True
Alabama,Winston County,2020-04-05,-0.42,-0.12,,,-0.27,,,,True,True,,True
Alaska,,2020-03-29,-0.48,-0.27,0.18,-0.55,-0.33,0.1,,,,,,
Alaska,,2020-04-05,-0.41,-0.17,0.29,-0.52,-0.32,0.09,,,,,,
Alaska,Anchorage,2020-03-29,-0.49,-0.25,0.51,-0.53,-0.39,0.11,,,,,,
Alaska,Anchorage,2020-04-05,-0.44,-0.13,0.58,-0.51,-0.4,0.1,,,,,,
Alaska,Bethel,2020-03-29,,-0.26,,,-0.19,,True,True,True,True,True,True
Alaska,Bethel,2020-04-05,,-0.23,,,-0.22,,True,True,True,True,True,True
Alaska,Fairbanks North Star,2020-03-29,-0.48,-0.34,,-0.76,-0.32,0.12,,,True,,,
Alaska,Fairbanks North Star,2020-04-05,-0.42,-0.3,,-0.73,-0.33,0.2,,,True,,,True
Alaska,Juneau,2020-03-29,-0.61,-0.34,-0.34,-0.66,-0.31,-0.01,,,True,,,True
Alaska,Juneau,2020-04-05,-0.52,-0.24,-0.34,-0.57,-0.29,-0.01,,,True,,,True
Alaska,Kenai Peninsula Borough,2020-03-29,-0.49,-0.28,,,-0.24,0.14,,,True,True,,True
Alaska,Kenai Peninsula Borough,2020-04-05,-0.37,-0.15,,,-0.21,0.14,,,True,True,,True
Alaska,Ketchikan Gateway,2020-03-29,-0.48,-0.38,,,-0.32,,,True,True,True,True,True
Alaska,Ketchikan Gateway,2020-04-05,-0.32,-0.38,,,-0.4,,,True,True,True,True,True
Alaska,Kodiak Island,2020-03-29,-0.5,,,,-0.23,,,True,True,True,True,True
Alaska,Kodiak Island,2020-04-05,-0.5,,,,-0.23,,,True,True,True,True,True
Alaska,Matanuska-Susitna,2020-03-29,-0.48,-0.33,,,-0.33,0.1,,,True,True,,
Alaska,Matanuska-Susitna,2020-04-05,-0.34,-0.2,,,-0.34,0.2,,,True,True,,True
Alaska,North Slope,2020-03-29,,,,,-0.07,,True,True,True,True,True,True
Alaska,North Slope,2020-04-05,,,,,-0.18,,True,True,True,True,True,True
Alaska,Sitka,2020-03-29,-0.59,,,,-0.31,,True,True,True,True,True,True
Alaska,Sitka,2020-04-05,-0.59,,,,-0.29,,True,True,True,True,True,True
Alaska,Southeast Fairbanks,2020-03-29,,,,,-0.35,,True,True,True,True,True,True
Alaska,Southeast Fairbanks,2020-04-05,,,,,-0.35,,True,True,True,True,True,True
Alaska,Valdez-Cordova,2020-03-29,,,,,-0.22,,True,True,True,True,True,True
Alaska,Valdez-Cordova,2020-04-05,,-0.12,,,-0.32,,True,True,True,True,True,True
Angola,,2020-03-29,-0.61,-0.4,-0.39,-0.57,-0.11,0.22,,,,,,
Angola,,2020-04-05,-0.62,-0.37,-0.48,-0.63,-0.17,0.22,,,,,,
Antigua and Barbuda,,2020-03-29,-0.46,-0.21,-0.3,-0.67,-0.48,0.17,,,,,,
Antigua and Barbuda,,2020-04-05,-0.78,-0.55,-0.65,-0.83,-0.66,0.16,,,,,,
Argentina,,2020-03-29,-0.86,-0.61,-0.89,-0.8,-0.57,0.27,,,,,,
Argentina,,2020-04-05,-0.83,-0.54,-0.87,-0.76,-0.52,0.26,,,,,,
Argentina,Buenos Aires,2020-03-29,-0.9,-0.48,-0.91,-0.82,-0.69,0.31,,,,,,
Argentina,Buenos Aires,2020-04-05,-0.88,-0.44,-0.89,-0.8,-0.66,0.3,,,,,,
Argentina,Buenos Aires Province,2020-03-29,-0.88,-0.6,-0.91,-0.79,-0.6,0.26,,,,,,
Argentina,Buenos Aires Province,2020-04-05,-0.84,-0.53,-0.89,-0.73,-0.56,0.25,,,,,,
Argentina,Catamarca Province,2020-03-29,-0.71,-0.46,-0.78,-0.81,-0.35,0.29,,,,,,
Argentina,Catamarca Province,2020-04-05,-0.66,-0.33,-0.74,-0.79,-0.29,0.27,,,,,,
Argentina,Chaco Province,2020-03-29,-0.79,-0.63,-0.83,-0.92,-0.48,0.24,,,,,,
Argentina,Chaco Province,2020-04-05,-0.72,-0.51,-0.77,-0.9,-0.4,0.21,,,,,,
Argentina,Chubut Province,2020-03-29,-0.92,-0.91,-0.94,-0.93,-0.62,0.28,,,,,,
Argentina,Chubut Province,2020-04-05,-0.86,-0.59,-0.92,-0.87,-0.51,0.25,,,,,,
Argentina,Cordoba,2020-03-29,-0.88,-0.66,-0.9,-0.91,-0.57,0.3,,,,,,
Argentina,Cordoba,2020-04-05,-0.85,-0.6,-0.88,-0.89,-0.52,0.29,,,,,,
Argentina,Corrientes,2020-03-29,-0.8,-0.63,-0.88,-0.89,-0.47,0.25,,,,,,
Argentina,Corrientes,2020-04-05,-0.76,-0.56,-0.86,-0.88,-0.39,0.23,,,,,,
Argentina,Entre Rios,2020-03-29,-0.87,-0.65,-0.93,-0.9,-0.54,0.29,,,,,,
Argentina,Entre Rios,2020-04-05,-0.83,-0.57,-0.91,-0.82,-0.46,0.27,,,,,,
Argentina,Formosa Province,2020-03-29,-0.76,-0.53,-0.82,-0.71,-0.37,0.21,,,,True,,
Argentina,Formosa Province,2020-04-05,-0.69,-0.4,-0.78,-0.63,-0.3,0.18,,,,,,
Argentina,Jujuy,2020-03-29,-0.8,-0.55,-0.83,-0.92,-0.44,0.27,,,,,,
Argentina,Jujuy,2020-04-05,-0.73,-0.4,-0.78,-0.89,-0.36,0.23,,,,,,
Argentina,La Pampa,2020-03-29,-0.88,-0.72,-0.88,-0.87,-0.56,0.28,,,,,,
Argentina,La Pampa,2020-04-05,-0.83,-0.64,-0.86,-0.82,-0.5,0.26,,,,,,
Argentina,La Rioja Province,2020-03-29,-0.7,-0.46,-0.84,-0.86,-0.4,0.26,,,,,,
Argentina,La Rioja Province,2020-04-05,-0.64,-0.52,-0.78,-0.83,-0.39,0.24,,,,,,
Argentina,Mendoza Province,2020-03-29,-0.81,-0.56,-0.84,-0.72,-0.49,0.29,,,,,,
Argentina,Mendoza Province,2020-04-05,-0.78,-0.5,-0.81,-0.69,-0.45,0.27,,,,,,
Argentina,Misiones Province,2020-03-29,-0.83,-0.66,-0.85,-0.92,-0.51,0.27,,,,,,
Argentina,Misiones Province,2020-04-05,-0.75,-0.52,-0.8,-0.91,-0.42,0.24,,,,,,
Argentina,Neuquen,2020-03-29,-0.96,-0.95,-0.95,-0.92,-0.72,0.33,,,,,,
Argentina,Neuquen,2020-04-05,-0.96,-0.94,-0.95,-0.89,-0.69,0.32,,,,,,
Argentina,Río Negro,2020-03-29,-0.9,-0.72,-0.92,-0.96,-0.55,0.29,,,,,,
Argentina,Río Negro,2020-04-05,-0.88,-0.66,-0.9,-0.96,-0.51,0.27,,,,,,
Argentina,Salta Province,2020-03-29,-0.82,-0.55,-0.84,-0.76,-0.47,0.26,,,,,,
Argentina,Salta Province,2020-04-05,-0.77,-0.43,-0.8,-0.67,-0.4,0.24,,,,,,
Argentina,San Juan Province,2020-03-29,-0.76,-0.5,-0.8,-0.87,-0.46,0.28,,,,,,
Argentina,San Juan Province,2020-04-05,-0.71,-0.42,-0.76,-0.85,-0.39,0.25,,,,,,
Argentina,San Luis Province,2020-03-29,-0.85,-0.6,-0.89,-0.91,-0.56,0.29,,,,,,
Argentina,San Luis Province,2020-04-05,-0.82,-0.57,-0.88,-0.91,-0.49,0.28,,,,,,
Argentina,Santa Cruz Province,2020-03-29,-0.83,-0.62,-0.88,-0.91,-0.56,0.24,,,,,,
Argentina,Santa Cruz Province,2020-04-05,-0.8,-0.66,-0.87,-0.85,-0.53,0.23,,,,,,
Argentina,Santa Fe Province,2020-03-29,-0.87,-0.63,-0.89,-0.77,-0.57,0.29,,,,,,
Argentina,Santa Fe Province,2020-04-05,-0.83,-0.56,-0.87,-0.7,-0.52,0.27,,,,,,
Argentina,Santiago del Estero Province,2020-03-29,-0.75,-0.49,-0.75,-0.9,-0.46,0.25,,,,,,
Argentina,Santiago del Estero Province,2020-04-05,-0.72,-0.44,-0.71,-0.87,-0.4,0.23,,,,,,
Argentina,Tierra del Fuego Province,2020-03-29,-0.87,-0.63,-0.89,-0.92,-0.59,0.24,,,,,,
Argentina,Tierra del Fuego Province,2020-04-05,-0.86,-0.62,-0.89,-0.93,-0.59,0.24,,,,,,
Argentina,Tucumán,2020-03-29,-0.81,-0.53,-0.78,-0.9,-0.51,0.28,,,,,,
Argentina,Tucumán,2020-04-05,-0.76,-0.43,-0.72,-0.86,-0.43,0.25,,,,,,
Arizona,,2020-03-29,-0.4,-0.17,-0.07,-0.41,-0.33,0.1,,,,,,
Arizona,,2020-04-05,-0.43,-0.19,-0.23,-0.47,-0.37,0.11,,,,,,
Arizona,Apache County,2020-03-29,-0.38,-0.13,-0.35,-0.08,-0.27,0.2,,,,,,True
Arizona,Apache County,2020-04-05,-0.38,-0.08,-0.23,-0.16,-0.3,0.17,,,,,,True
Arizona,Cochise County,2020-03-29,-0.37,-0.21,-0.14,-0.23,-0.29,0.08,,,,,,
Arizona,Cochise County,2020-04-05,-0.41,-0.22,-0.18,-0.3,-0.34,0.09,,,,,,
Arizona,Coconino County,2020-03-29,-0.55,-0.24,-0.25,-0.34,-0.38,0.12,,,,,,
Arizona,Coconino County,2020-04-05,-0.59,-0.27,-0.34,-0.36,-0.41,0.13,,,,,,
Arizona,Gila County,2020-03-29,-0.14,0.16,0.95,,-0.28,0.11,,,,True,,True
Arizona,Gila County,2020-04-05,-0.21,0.09,0.72,,-0.32,0.11,,,,True,,True
Arizona,Graham County,2020-03-29,-0.21,0.14,-0.63,,-0.19,0.11,,,True,True,,True
Arizona,Graham County,2020-04-05,-0.17,0.17,-0.63,,-0.24,0.12,,,True,True,,True
Arizona,Greenlee County,2020-03-29,-0.37,-0.1,,,-0.28,,True,,True,True,True,True
Arizona,Greenlee County,2020-04-05,-0.65,-0.13,,,-0.3,,True,,True,True,True,True
Arizona,La Paz County,2020-03-29,-0.61,-0.35,-0.54,-0.5,-0.21,,,,,,,True
Arizona,La Paz County,2020-04-05,-0.64,-0.42,-0.65,-0.54,-0.23,,,,,,,True
Arizona,Maricopa County,2020-03-29,-0.4,-0.18,-0.06,-0.44,-0.33,0.1,,,,,,
Arizona,Maricopa County,2020-04-05,-0.44,-0.21,-0.26,-0.5,-0.38,0.11,,,,,,
Arizona,Mohave County,2020-03-29,-0.36,-0.13,-0.13,-0.23,-0.37,0.09,,,,,,
Arizona,Mohave County,2020-04-05,-0.39,-0.11,-0.27,-0.3,-0.39,0.09,,,,,,
Arizona,Navajo County,2020-03-29,-0.29,-0.09,0.11,-0.12,-0.28,0.1,,,,,,
Arizona,Navajo County,2020-04-05,-0.35,-0.15,0.05,-0.21,-0.34,0.11,,,,,,
Arizona,Pima County,2020-03-29,-0.43,-0.16,-0.16,-0.43,-0.36,0.1,,,,,,
Arizona,Pima County,2020-04-05,-0.45,-0.16,-0.27,-0.48,-0.39,0.11,,,,,,
Arizona,Pinal County,2020-03-29,-0.27,-0.23,0.01,-0.28,-0.31,0.08,,,,,,
Arizona,Pinal County,2020-04-05,-0.31,-0.22,-0.21,-0.39,-0.33,0.09,,,,,,
Arizona,Santa Cruz County,2020-03-29,-0.56,-0.47,-0.29,-0.25,-0.33,0.18,,,,,,True
Arizona,Santa Cruz County,2020-04-05,-0.58,-0.49,-0.4,-0.31,-0.37,0.19,,,,,,True
Arizona,Yavapai County,2020-03-29,-0.4,-0.15,0.06,-0.27,-0.38,0.09,,,,,,
Arizona,Yavapai County,2020-04-05,-0.45,-0.15,-0.1,-0.3,-0.42,0.09,,,,,,
Arizona,Yuma County,2020-03-29,-0.45,-0.21,-0.17,-0.53,-0.27,0.1,,,,,,
Arizona,Yuma County,2020-04-05,-0.52,-0.24,-0.41,-0.61,-0.28,0.11,,,,,,
Arkansas,,2020-03-29,-0.29,-0.07,0.81,-0.22,-0.27,0.07,,,,,,
Arkansas,,2020-04-05,-0.36,-0.03,0.25,-0.33,-0.29,0.08,,,,,,
Arkansas,Arkansas County,2020-03-29,-0.22,-0.07,,,-0.11,,,,True,True,True,True
Arkansas,Arkansas County,2020-04-05,-0.23,0.08,,,-0.26,,,,True,True,True,True
Arkansas,Ashley County,2020-03-29,-0.24,-0.04,,,-0.27,,,,True,True,,True
Arkansas,Ashley County,2020-04-05,-0.32,0.06,,,-0.21,,,,True,True,,True
Arkansas,Baxter County,2020-03-29,-0.3,-0.02,,,-0.26,0.11,,,True,True,,True
Arkansas,Baxter County,2020-04-05,-0.33,0.18,,,-0.26,0.13,,,True,True,,True
Arkansas,Benton County,2020-03-29,-0.36,-0.16,0.56,-0.65,-0.34,0.09,,,,,,
Arkansas,Benton County,2020-04-05,-0.48,-0.21,-0.16,-0.74,-0.35,0.11,,,,,,
Arkansas,Boone County,2020-03-29,-0.25,-0.17,,,-0.32,0.14,,,True,True,,True
Arkansas,Boone County,2020-04-05,-0.36,-0.12,,,-0.37,0.17,,,True,True,,True
Arkansas,Bradley County,2020-03-29,-0.28,-0.17,,,-0.37,,True,,True,True,True,True
Arkansas,Bradley County,2020-04-05,-0.4,-0.07,,,-0.33,,,,True,True,True,True
Arkansas,Carroll County,2020-03-29,-0.27,0.14,,,-0.27,-0.01,,,True,True,,True
Arkansas,Carroll County,2020-04-05,-0.49,-0.03,,,-0.33,-0.01,,,True,True,,True
Arkansas,Chicot County,2020-03-29,-0.19,0.06,,,-0.25,,True,True,True,True,True,True
Arkansas,Chicot County,2020-04-05,-0.22,0.04,,,-0.27,,True,True,True,True,True,True
Arkansas,Clark County,2020-03-29,-0.33,0.02,,-0.23,-0.22,,,,True,,,True
Arkansas,Clark County,2020-04-05,-0.42,-0.04,,-0.35,-0.31,,,,True,,,True
Arkansas,Clay County,2020-03-29,-0.07,-0.02,,,-0.21,,,True,True,True,True,True
Arkansas,Clay County,2020-04-05,-0.1,-0.02,,,-0.32,,,True,True,True,True,True
Arkansas,Cleburne County,2020-03-29,-0.16,0.0,,,-0.37,,,,True,True,,True
Arkansas,Cleburne County,2020-04-05,-0.48,0.43,,,-0.35,,,,True,True,,True
